PeakID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type	ZT1_1_BAT	ZT1_2_BAT	ZT1_3_BAT	ZT5_1_BAT	ZT5_2_BAT	ZT5_3_BAT	ZT9_1_BAT	ZT9_2_BAT	ZT9_3_BAT	ZT13_1_BAT	ZT13_2_BAT	ZT13_3_BAT	ZT17_1_BAT	ZT17_2_BAT	ZT17_3_BAT	ZT21_1_BAT	ZT21_2_BAT	ZT21_3_BAT	LAG	BH.Q	ZT_bin
chr7-552	chr7	45896747	45896897	+	77.8	0	promoter-TSS (NM_001291064)	promoter-TSS (NM_001291064)	-111	NM_021482	58867	Mm.214217	NM_021482	ENSMUSG00000040231	Syngr4	1700016O14Rik	synaptogyrin 4	protein-coding	186	223	355	267	249	427	432	330	199	192	261	195	185	296	446	225	253	258	4	0.0310391655363696	ZT5
chr2-581	chr2	163645071	163645221	+	77.7	0	promoter-TSS (NM_012032)	promoter-TSS (NM_012032)	-3	NM_012032	26943	Mm.218473	NM_012032	ENSMUSG00000017707	Serinc3	AA959945|AA960047|AIGP1|DIFF33|TMS-1|Tde1	serine incorporator 3	protein-coding	156	205	359	225	239	425	376	344	213	218	255	196	189	334	501	216	256	263	8	0.0649073511596943	ZT9
chr10-229	chr10	79890801	79890951	+	77.7	0	promoter-TSS (NM_001329541)	promoter-TSS (NM_001329541)	23	NM_001291915	11537	Mm.4407	NM_013459	ENSMUSG00000061780	Cfd	Adn|DF	complement factor D (adipsin)	protein-coding	212	249	402	275	291	444	336	340	176	186	205	131	184	265	491	262	269	254	2	0.00583137953168869	ZT1
chr18-199	chr18	4737744	4737894	+	77.7	0	Intergenic	Intergenic	-74667	NR_045881	100038439	Mm.387569	NR_045881	ENSMUSG00000097043	Gm10556	-	predicted gene 10556	ncRNA	132	183	320	200	207	341	462	399	217	280	341	288	213	258	602	170	151	206	12	0.0206133492264304	ZT13
chr8-483	chr8	105636427	105636577	+	77.7	0	promoter-TSS (NM_181322)	promoter-TSS (NM_181322)	-36	NM_181322	13018	Mm.269474	NM_181322	ENSMUSG00000005698	Ctcf	AW108038	CCCTC-binding factor	protein-coding	185	221	357	242	212	411	454	361	213	224	240	201	178	292	444	217	261	256	6	0.0310391655363696	ZT5
chr4-392	chr4	155669182	155669332	+	77.7	0	promoter-TSS (NM_001256107)	promoter-TSS (NM_001256107)	-3	NM_001256107	76580	Mm.235738	NM_145124	ENSMUSG00000029060	Mib2	2210008I11Rik|Zzank1|skd	mindbomb E3 ubiquitin protein ligase 2	protein-coding	190	217	356	241	235	417	366	344	209	208	235	187	180	289	523	231	251	292	4	0.0452500717492719	ZT5
chr5-400	chr5	97111726	97111876	+	77.6	0	promoter-TSS (NM_198422)	promoter-TSS (NM_198422)	-205	NM_001359913	231474	Mm.332505	NM_198422	ENSMUSG00000055725	Paqr3	6330415A20Rik|AY424292|RKTG	progestin and adipoQ receptor family member III	protein-coding	146	185	334	228	247	396	447	377	212	232	261	203	213	265	441	221	263	297	9	0.077236599220546	ZT9
chr5-435	chr5	93251093	93251243	+	77.6	0	Intergenic	Intergenic	-16405	NM_007635	12452	Mm.3527	NM_007635	ENSMUSG00000029385	Ccng2	-	cyclin G2	protein-coding	158	212	350	200	246	368	355	312	169	193	222	179	201	343	490	332	343	291	22	0.00873811946535779	ZT21
chr2-378	chr2	75832115	75832265	+	77.6	0	promoter-TSS (NM_172666)	promoter-TSS (NM_172666)	13	NM_172666	228061	Mm.31227	NM_172666	ENSMUSG00000042410	Agps	5832437L22|9930035G10Rik|AW123847|Adaps|Adas|Adhaps|Adps|Aldhpsy|bs2	alkylglycerone phosphate synthase	protein-coding	143	214	364	210	246	362	424	390	218	203	278	204	189	295	486	228	249	260	8	0.0452500717492719	ZT9
chr3-277	chr3	10285056	10285206	+	77.6	0	intron (NM_029310, intron 1 of 5)	intron (NM_029310, intron 1 of 5)	16052	NM_001357159	75497	Mm.47052	NM_029310	ENSMUSG00000027530	Fabp12	1700008G05Rik	fatty acid binding protein 12	protein-coding	143	211	354	198	210	375	355	286	173	227	226	181	190	409	564	285	304	272	20	0.091432700055119	ZT21
chr12-282	chr12	32884516	32884666	+	77.5	0	Intergenic	Intergenic	60475	NR_045032	100504486	Mm.440246	NR_045032	NA	Gdap10	Gdap-ps	ganglioside-induced differentiation-associated-protein 10	ncRNA	132	191	312	205	209	346	461	372	223	259	289	295	256	281	513	195	228	192	10	0.0377238244831057	ZT9
chr9-445	chr9	42329911	42330061	+	77.5	0	3' UTR (NM_001324548, exon 24 of 24)	3' UTR (NM_001324548, exon 24 of 24)	-65686	NM_172769	235293	Mm.32700	NM_172769	ENSMUSG00000032018	Sc5d	A830037K02|A830073K23Rik|Sc5dl	sterol-C5-desaturase	protein-coding	146	176	342	178	212	335	344	309	189	184	230	240	218	362	578	273	312	332	18	0.091432700055119	ZT17
chr9-420	chr9	57765105	57765255	+	77.4	0	exon (NM_007713, exon 1 of 13)	exon (NM_007713, exon 1 of 13)	680	NM_007713	102414	Mm.25720	NM_007713	ENSMUSG00000032316	Clk3	AI256811	CDC-like kinase 3	protein-coding	192	253	362	229	249	387	371	349	190	218	232	203	191	300	466	231	254	275	4	0.0310391655363696	ZT5
chr9-220	chr9	108578659	108578809	+	77.4	0	promoter-TSS (NM_031392)	promoter-TSS (NM_031392)	-64	NM_031392	83669	Mm.335454	NM_031392	ENSMUSG00000066357	Wdr6	mWDR6	WD repeat domain 6	protein-coding	155	199	328	228	281	401	406	436	205	279	284	194	175	300	484	187	180	229	8	0.00583137953168869	ZT9
chr6-335	chr6	90462477	90462627	+	77.4	0	promoter-TSS (NM_023184)	promoter-TSS (NM_023184)	-24	NM_001355668	66277	Mm.38343	NM_023184	ENSMUSG00000030087	Klf15	1810013I09Rik|AV048136|AW494632|CKLF|KKLF	Kruppel-like factor 15	protein-coding	161	200	344	254	267	394	394	335	198	238	252	194	179	289	482	239	276	252	6	0.0247913445279724	ZT5
chr8-371	chr8	120482427	120482577	+	77.4	0	Intergenic	MLT1C|LTR|ERVL-MaLR	-6364	NM_198671	382034	Mm.334856	NM_198671	ENSMUSG00000031822	Gse1	2210013I18Rik|mKIAA0182	genetic suppressor element 1, coiled-coil protein	protein-coding	115	146	261	206	205	423	341	372	190	258	273	205	235	387	640	230	265	202	14	0.0377238244831057	ZT13
chr2-595	chr2	60209754	60209904	+	77.3	0	promoter-TSS (NM_020575)	promoter-TSS (NM_020575)	-107	NM_020575	57438	Mm.260635	NM_020575	ENSMUSG00000026977	7-Mar	Axo|Axot|Gtrgeo17	membrane-associated ring finger (C3HC4) 7	protein-coding	169	208	327	268	255	446	414	346	199	211	256	197	160	313	492	186	261	237	6	0.0071053784429439	ZT5
chr7-542	chr7	45923630	45923780	+	77.3	0	Intergenic	Intergenic	-2279	NM_010129	13732	Mm.20829	NM_010129	ENSMUSG00000040212	Emp3	H-4|H4|HNMP-1|MI-35|Ymp	epithelial membrane protein 3	protein-coding	182	216	361	224	249	383	402	320	197	194	223	200	193	296	496	276	266	268	2	0.077236599220546	ZT1
chr6-479	chr6	108836297	108836447	+	77.3	0	intron (NM_138677, intron 1 of 11)	intron (NM_138677, intron 1 of 11)	7731	NM_138677	192193	Mm.21596	NM_138677	ENSMUSG00000030104	Edem1	A130059K23Rik|EDEM|mKIAA0212	ER degradation enhancer, mannosidase alpha-like 1	protein-coding	158	213	326	195	208	369	343	288	167	201	232	186	207	425	603	251	299	271	20	0.0165323918984296	ZT21
chr18-188	chr18	54853118	54853268	+	77.3	0	Intergenic	Intergenic	136987	NM_175751	269023	Mm.192984	NM_175751	ENSMUSG00000052713	Zfp608	4932417D18Rik|D430007A19Rik|Znf608	zinc finger protein 608	protein-coding	155	214	351	207	233	366	348	363	154	200	247	182	206	329	508	265	291	324	22	0.0377238244831057	ZT21
chr15-305	chr15	102399683	102399833	+	77.3	0	Intergenic	Intergenic	-6558	NM_013672	20683	Mm.4618	NM_013672	ENSMUSG00000001280	Sp1	1110003E12Rik|AA450830|AI845540|Sp1-1	trans-acting transcription factor 1	protein-coding	182	245	362	270	276	421	405	358	188	226	223	202	176	246	468	243	237	215	4	0.0165323918984296	ZT5
chr7-436	chr7	105633522	105633672	+	77.3	0	promoter-TSS (NM_001285871)	promoter-TSS (NM_001285871)	-26	NM_001285871	55992	Mm.29290	NM_018880	ENSMUSG00000036989	Trim3	BERP1|HAC1|Rnf22	tripartite motif-containing 3	protein-coding	161	178	317	239	256	427	370	369	210	210	258	221	172	298	485	232	256	286	6	0.091432700055119	ZT5
chr1-564	chr1	177013910	177014060	+	77.2	0	intron (NM_001357390, intron 18 of 18)	intron (NM_001357390, intron 18 of 18)	-177852	NR_037996	15365	Mm.441435	NR_037996	NA	Hmga2-ps1	EG666235|Gm7996|Hmgic-ps1|[y]i-c	high mobility group AT-hook 2, pseudogene 1	pseudo	151	186	402	174	189	311	325	335	175	225	215	194	179	461	531	253	287	345	18	0.077236599220546	ZT17
chr5-388	chr5	140649078	140649228	+	77.2	0	promoter-TSS (NM_175274)	promoter-TSS (NM_175274)	-122	NM_175274	78339	Mm.28947	NM_175274	ENSMUSG00000036565	Ttyh3	2900029G13Rik|AI414930|TTY3|mTTY3	tweety family member 3	protein-coding	155	201	347	227	258	388	399	365	204	209	245	213	158	306	462	246	263	291	6	0.0206133492264304	ZT5
chr9-428	chr9	33152287	33152437	+	77.2	0	Intergenic	Intergenic	-223396	NR_131058	330917	Mm.488283	NR_131058	NA	Gm27162	A430016B06	predicted gene 27162	ncRNA	135	197	301	167	222	319	415	344	204	223	250	237	205	336	588	248	265	282	14	0.0165323918984296	ZT13
chr10-324	chr10	79746553	79746703	+	77.1	0	promoter-TSS (NM_172551)	promoter-TSS (NM_172551)	-47	NM_172551	216151	Mm.39001	NM_172551	ENSMUSG00000020329	Polrmt	1110018N15Rik|4932416K13	polymerase (RNA) mitochondrial (DNA directed)	protein-coding	182	249	332	234	240	403	385	331	159	209	243	179	180	316	490	236	282	282	2	0.077236599220546	ZT1
chr8-309	chr8	69088639	69088789	+	77.1	0	promoter-TSS (NM_007509)	promoter-TSS (NM_007509)	-22	NM_007509	11966	Mm.249096	NM_007509	ENSMUSG00000006273	Atp6v1b2	AI194269|AI790362|Atp6b2|HO57|R74844	ATPase, H+ transporting, lysosomal V1 subunit B2	protein-coding	196	217	366	240	255	405	425	312	239	196	229	205	175	319	410	218	253	271	6	0.091432700055119	ZT5
chr4-343	chr4	136735960	136736110	+	77.1	0	intron (NM_010142, intron 3 of 15)	intron (NM_010142, intron 3 of 15)	99977	NM_001290753	13844	Mm.250981	NM_010142	ENSMUSG00000028664	Ephb2	Cek5|Drt|ETECK|Erk|Hek5|Nuk|Prkm5|Qek5|Sek3|Tyro5	Eph receptor B2	protein-coding	197	226	359	196	198	347	249	294	152	219	236	196	215	382	617	262	260	328	20	0.0206133492264304	ZT21
chr5-281	chr5	139797022	139797172	+	77.1	0	intron (NM_010757, intron 1 of 2)	intron (NM_010757, intron 1 of 2)	5561	NM_010757	17135	Mm.157313	NM_010757	ENSMUSG00000018143	Mafk	AW061068|NF-E2|Nfe2u	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)	protein-coding	164	209	350	225	277	452	381	393	213	208	242	195	202	327	438	208	224	225	6	0.0247913445279724	ZT5
chr6-310	chr6	88915677	88915827	+	77.1	0	Intergenic	Intergenic	13501	NM_011906	24100	Mm.284480	NM_011906	ENSMUSG00000002871	Tpra1	40kDa|Gpr175|Tpra40	transmembrane protein, adipocyte asscociated 1	protein-coding	184	227	399	217	278	351	355	292	146	197	215	193	195	301	547	266	234	332	0	0.091432700055119	ZT1
chr6-361	chr6	29474875	29475025	+	77	0	Intergenic	Intergenic	3513	NM_001145360	668210	Mm.420607	NM_001145360	ENSMUSG00000090685	Gm9047	EG668210	predicted gene 9047	protein-coding	145	172	297	183	228	368	338	329	158	256	267	229	231	388	520	251	267	299	16	0.0377238244831057	ZT17
chr7-480	chr7	27580685	27580835	+	77	0	exon (NM_175107, exon 10 of 10)	exon (NM_175107, exon 10 of 10)	-10792	NM_001110208	11652	Mm.177194	NM_007434	ENSMUSG00000004056	Akt2	2410016A19Rik|AW554154|PKB|PKBbeta	thymoma viral proto-oncogene 2	protein-coding	141	210	311	202	203	334	301	351	166	257	254	222	220	376	565	243	267	301	16	0.0206133492264304	ZT17
chr19-245	chr19	9026816	9026966	+	77	0	intron (NM_001039959, intron 4 of 5)	intron (NM_001039959, intron 4 of 5)	37607	NM_001286518	66395	Mm.203866	NM_009643	ENSMUSG00000069833	Ahnak	DY6	AHNAK nucleoprotein (desmoyokin)	protein-coding	183	229	397	227	242	410	394	302	174	172	208	190	194	342	475	269	287	232	0	0.0132923364728598	ZT1
chr15-243	chr15	77306904	77307054	+	77	0	promoter-TSS (NM_001110827)	promoter-TSS (NM_001110827)	74	NM_001110827	93686	Mm.202774	NM_053104	ENSMUSG00000033565	Rbfox2	Fbm2|Fxh|Hrnbp2|Rbm9	RNA binding protein, fox-1 homolog (C. elegans) 2	protein-coding	163	212	357	250	254	433	405	367	197	250	263	209	158	282	440	242	219	229	6	0.0452500717492719	ZT5
chr19-154	chr19	38054759	38054909	+	77	0	promoter-TSS (NM_001360663)	promoter-TSS (NM_001360663)	-150	NM_028293	74107	Mm.9916	NM_028293	ENSMUSG00000024989	Cep55	1200008O12Rik|2700032M20Rik	centrosomal protein 55	protein-coding	154	219	359	239	260	396	391	363	208	207	263	210	180	300	420	225	270	263	6	0.00583137953168869	ZT5
chr12-319	chr12	91590149	91590299	+	77	0	promoter-TSS (NM_031391)	promoter-TSS (NM_031391)	263	NM_175335	83602	Mm.275728	NM_031391	ENSMUSG00000020962	Gtf2a1	6330549H03Rik|AA536742|AA959775|AW060250|TfIIAa/b|Tfiia1	general transcription factor II A, 1	protein-coding	185	207	316	236	254	399	410	372	229	187	253	213	183	300	432	233	250	263	8	0.0377238244831057	ZT9
chr11-567	chr11	35139201	35139351	+	76.9	0	intron (NM_011412, intron 1 of 35)	B1F2|SINE|Alu	17820	NM_011412	20564	Mm.478604	NM_011412	ENSMUSG00000056427	Slit3	Slil2|Slit1|b2b2362.1Clo	slit guidance ligand 3	protein-coding	150	205	367	202	212	332	321	312	165	190	253	186	214	396	542	277	292	304	20	0.010917051581423	ZT21
chr17-340	chr17	43557566	43557716	+	76.8	0	Intergenic	LTR33|LTR|ERVL	-10810	NM_013737	27226	Mm.9277	NM_013737	ENSMUSG00000023913	Pla2g7	PAF-AH|R75400	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	protein-coding	123	175	315	205	210	349	370	335	202	232	201	212	208	382	576	264	268	288	16	0.0649073511596943	ZT17
chr8-524	chr8	93197905	93198055	+	76.8	0	promoter-TSS (NM_053200)	promoter-TSS (NM_053200)	-176	NM_053200	104158	Mm.292803	NM_053200	ENSMUSG00000056973	Ces1d	Ces3|TGH	carboxylesterase 1D	protein-coding	125	177	321	177	151	288	437	399	200	258	284	280	233	392	537	198	208	245	14	0.010917051581423	ZT13
chr16-182	chr16	90829954	90830104	+	76.8	0	promoter-TSS (NR_133572)	promoter-TSS (NR_133572)	-830	NR_133572	70967	Mm.253077	NM_027627	ENSMUSG00000039903	Eva1c	1700092M14Rik|4931408A02Rik|Fam176c	eva-1 homolog C (C. elegans)	protein-coding	163	211	329	226	257	372	405	350	195	219	245	219	193	316	546	224	191	251	8	0.077236599220546	ZT9
chr15-313	chr15	88850581	88850731	+	76.8	0	Intergenic	Intergenic	-11538	NM_145478	223775	Mm.400129	NM_145478	ENSMUSG00000035828	Pim3	BC026639|Kid1	proviral integration site 3	protein-coding	152	206	350	288	315	465	407	363	200	202	273	212	153	256	451	189	204	228	6	0.00488626175209741	ZT5
chr7-444	chr7	38225164	38225314	+	76.8	0	intron (NM_024413, intron 1 of 1)	intron (NM_024413, intron 1 of 1)	2755	NM_024413	72287	Mm.333798	NM_024413	ENSMUSG00000074170	Plekhf1	1810013P09Rik|APPD|LAPF|PHAFIN1|ZFYVE15	pleckstrin homology domain containing, family F (with FYVE domain) member 1	protein-coding	138	176	341	196	219	325	438	375	223	226	307	269	188	308	561	195	195	235	12	0.0206133492264304	ZT13
chr5-569	chr5	91686672	91686822	+	76.7	0	Intergenic	L1Md_A|LINE|L1	80553	NR_045383	73452	Mm.396233	NR_045383	ENSMUSG00000101978	1700063O14Rik	-	RIKEN cDNA 1700063O14 gene	ncRNA	175	213	339	213	226	396	372	331	171	196	212	199	191	337	499	268	277	293	0	0.0452500717492719	ZT1
chr12-390	chr12	101083596	101083746	+	76.7	0	promoter-TSS (NM_211355)	promoter-TSS (NM_211355)	31	NM_211355	68734	Mm.87077	NM_211355	ENSMUSG00000041846	Ppp4r3a	1110034C04Rik|BC064465|Smek1|mKIAA2010	protein phosphatase 4 regulatory subunit 3A	protein-coding	167	215	321	219	254	350	409	366	240	231	236	203	197	297	470	217	252	259	8	0.0377238244831057	ZT9
chr19-152	chr19	8871493	8871643	+	76.5	0	promoter-TSS (NM_001362044)	promoter-TSS (NM_001362044)	20	NM_001362044	225896	Mm.27839	NM_146093	ENSMUSG00000071655	Ubxn1	2B28|4930455J02Rik|D19Ertd721e|T25529|mY33K	UBX domain protein 1	protein-coding	178	248	309	226	267	407	387	333	189	233	247	203	179	280	454	225	260	265	6	0.0546578553591281	ZT5
chr16-275	chr16	25224906	25225056	+	76.5	0	Intergenic	MTD-int|LTR|ERVL-MaLR	-61836	NM_175165	71338	Mm.126851	NM_175165	ENSMUSG00000048399	Tprg	5430420C16Rik|Tprg1	transformation related protein 63 regulated	protein-coding	207	245	359	189	195	335	345	322	167	159	208	171	153	322	545	279	339	355	0	0.0649073511596943	ZT1
chr19-228	chr19	5295459	5295609	+	76.5	0	promoter-TSS (NM_030109)	promoter-TSS (NM_030109)	-79	NM_030109	319322	Mm.196532	NM_030109	ENSMUSG00000024853	Sf3b2	145kDa|2610311M13Rik|2810441F20Rik|B230398H18Rik|SAP145|SF3b1|SF3b145|SF3b150	splicing factor 3b, subunit 2	protein-coding	151	204	329	248	257	386	402	335	199	211	240	199	186	345	482	212	270	242	8	0.0649073511596943	ZT9
chr4-505	chr4	129057984	129058134	+	76.5	0	promoter-TSS (NM_029219)	promoter-TSS (NM_029219)	-212	NM_029219	75234	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	170	222	341	240	264	390	412	334	216	212	227	191	193	302	416	209	266	288	6	0.0247913445279724	ZT5
chr7-577	chr7	64052466	64052616	+	76.4	0	Intergenic	MLT1H2|LTR|ERVL-MaLR	-101294	NM_001039104	17364	Mm.38875	NM_018752	ENSMUSG00000030523	Trpm1	4732499L03Rik|AI606771|Ltrpc1|Mlsn1	transient receptor potential cation channel, subfamily M, member 1	protein-coding	151	207	319	206	241	329	342	295	165	203	219	238	207	389	502	251	290	335	20	0.0206133492264304	ZT21
chr18-222	chr18	61656037	61656187	+	76.4	0	intron (NR_045402, intron 1 of 4)	MIRb|SINE|MIR	-6854	NR_029601	387161	NA	NR_029601	ENSMUSG00000065445	Mir143	Mirn143|mir-143|mmu-mir-143	microRNA 143	ncRNA	112	168	252	217	264	451	479	420	240	213	261	241	161	302	484	226	230	170	10	0.00583137953168869	ZT9
chr11-467	chr11	117962315	117962465	+	76.4	0	Intergenic	Intergenic	6976	NM_007707	12702	Mm.3468	NM_007707	ENSMUSG00000053113	Socs3	Cis3|Cish3|EF-10|Ef10|SSI-3|Ssi3	suppressor of cytokine signaling 3	protein-coding	150	224	348	238	270	368	376	266	190	150	181	167	189	313	469	323	331	333	0	0.0649073511596943	ZT1
chr2-434	chr2	167853494	167853644	+	76.4	0	Intergenic	Intergenic	-78758	NM_011201	19246	Mm.277916	NM_011201	ENSMUSG00000027540	Ptpn1	PTP-1B|PTP-HA2|PTP1B	protein tyrosine phosphatase, non-receptor type 1	protein-coding	151	201	377	226	212	392	469	358	212	248	317	305	151	255	626	146	111	132	10	0.077236599220546	ZT9
chr10-416	chr10	115108278	115108428	+	76.3	0	intron (NM_173391, intron 8 of 10)	intron (NM_173391, intron 8 of 10)	76669	NM_173391	216343	Mm.31597	NM_173391	ENSMUSG00000006764	Tph2	AU043594|Ntph	tryptophan hydroxylase 2	protein-coding	130	209	325	156	187	289	372	317	193	197	215	191	219	350	535	303	361	335	20	0.0546578553591281	ZT21
chr4-375	chr4	141139772	141139922	+	76.3	0	promoter-TSS (NM_001025608)	promoter-TSS (NM_001025608)	-51	NR_102343	213491	Mm.332006	NM_174996	ENSMUSG00000040842	Szrd1	1110022I03|D4Ertd22e	SUZ RNA binding domain containing 1	protein-coding	165	215	337	237	248	398	380	319	181	219	241	172	181	316	475	244	252	304	4	0.091432700055119	ZT5
chr8-310	chr8	116814683	116814833	+	76.2	0	Intergenic	Intergenic	-13346	NR_046193	78213	Mm.402039	NR_046193	NA	4930563M20Rik	-	RIKEN cDNA 4930563M20 gene	ncRNA	207	236	433	221	244	406	374	318	171	185	225	156	192	242	487	257	222	299	2	0.0165323918984296	ZT1
chr3-395	chr3	104540836	104540986	+	76.2	0	Intergenic	Intergenic	-28993	NM_001310698	269473	Mm.34855	NM_001025067	ENSMUSG00000032913	Lrig2	4632419I10Rik|BB096938|LIG-2	leucine-rich repeats and immunoglobulin-like domains 2	protein-coding	187	216	369	224	241	356	299	266	127	199	202	188	208	356	543	276	300	317	22	5.3093109217866e-4	ZT21
chr15-255	chr15	25948379	25948529	+	76.2	0	TTS (NR_106071)	TTS (NR_106071)	227	NR_106071	102465698	NA	NR_106071	ENSMUSG00000098719	Mir7212	Gm28027|mmu-mir-7212	microRNA 7212	ncRNA	160	190	382	191	189	336	487	378	217	235	281	240	167	352	510	178	204	174	10	0.077236599220546	ZT9
chr16-184	chr16	36071526	36071676	+	76.1	0	promoter-TSS (NM_027342)	promoter-TSS (NM_027342)	-59	NM_198645	381045	Mm.310434	NM_198645	ENSMUSG00000075229	Ccdc58	A930007B11Rik|AI413631	coiled-coil domain containing 58	protein-coding	151	188	347	233	270	398	370	354	203	185	234	197	172	313	498	245	252	260	6	0.0452500717492719	ZT5
chr9-330	chr9	72662317	72662467	+	76.1	0	promoter-TSS (NM_010890)	promoter-TSS (NM_010890)	61	NM_010890	17999	Mm.279923	NM_010890	ENSMUSG00000032216	Nedd4	AA959633|AL023035|AU019897|E430025J12Rik|EG639396|Gm7265|KIAA0093|Nedd4-1|Nedd4a	neural precursor cell expressed, developmentally down-regulated 4	protein-coding	194	242	336	235	240	395	375	359	205	224	232	204	169	294	461	211	219	273	6	0.077236599220546	ZT5
chr4-431	chr4	56946671	56946821	+	76.1	0	intron (NM_175518, intron 1 of 17)	CpG	683	NM_175518	242474	Mm.296632	NM_175518	ENSMUSG00000055296	Tmem245	A630051L19Rik|AI957324|D730040F13Rik	transmembrane protein 245	protein-coding	151	164	311	207	249	378	362	365	185	257	270	213	204	314	482	227	267	263	12	0.0546578553591281	ZT13
chr10-359	chr10	75837437	75837587	+	76.1	0	Intergenic	CpG	-2631	NM_010361	14872	Mm.24118	NM_010361	ENSMUSG00000033318	Gstt2	AI266894|Yrs|mGSTT2	glutathione S-transferase, theta 2	protein-coding	180	234	416	259	307	419	463	356	210	229	252	177	128	255	379	169	192	244	6	0.0132923364728598	ZT5
chr16-270	chr16	17531027	17531177	+	76	0	promoter-TSS (NM_026909)	promoter-TSS (NM_026909)	-50	NM_026909	69009	Mm.10174	NM_026909	ENSMUSG00000022760	Thap7	1810004B07Rik	THAP domain containing 7	protein-coding	172	207	300	228	233	434	403	378	215	240	231	200	172	326	487	188	219	228	8	0.0206133492264304	ZT9
chr11-586	chr11	117318735	117318885	+	75.9	0	intron (NM_001113486, intron 3 of 11)	intron (NM_001113486, intron 3 of 11)	-12905	NM_017380	53860	Mm.38450	NM_017380	ENSMUSG00000059248	9-Sep	MSF1|Msf|PNUTL4|Sint1	septin 9	protein-coding	174	222	422	243	255	399	265	282	170	194	210	188	182	321	472	237	272	346	0	0.0165323918984296	ZT1
chr8-397	chr8	57468752	57468902	+	75.9	0	intron (NM_009136, intron 1 of 2)	B4A|SINE|B4	12904	NM_009136	20284	Mm.12886	NM_009136	ENSMUSG00000031610	Scrg1	AW124307	scrapie responsive gene 1	protein-coding	132	210	295	219	222	296	320	324	153	201	227	209	205	328	552	277	322	362	20	0.0452500717492719	ZT21
chr5-515	chr5	25527136	25527286	+	75.9	0	Intergenic	Intergenic	-2807	NR_027388	73571	Mm.105263	NR_027388	ENSMUSG00000101856	1700096K18Rik	-	RIKEN cDNA 1700096K18 gene	ncRNA	177	206	342	230	254	375	406	362	199	216	268	209	206	281	446	201	227	253	8	0.091432700055119	ZT9
chr18-208	chr18	65329260	65329410	+	75.8	0	intron (NM_001037294, intron 4 of 12)	intron (NM_001037294, intron 4 of 12)	64553	NM_001037294	225638	Mm.296528	NM_001037294	ENSMUSG00000032845	Alpk2	Gm549|Hak	alpha-kinase 2	protein-coding	159	237	424	208	233	305	389	330	174	197	209	181	201	327	411	275	297	291	0	0.077236599220546	ZT1
chr11-634	chr11	62602700	62602850	+	75.8	0	promoter-TSS (NR_030738)	promoter-TSS (NR_030738)	-102	NR_030738	69221	Mm.270874	NR_030738	ENSMUSG00000086841	2410006H16Rik	-	RIKEN cDNA 2410006H16 gene	ncRNA	196	203	320	235	259	378	395	332	195	197	234	201	166	350	452	228	261	250	6	0.077236599220546	ZT5
chr9-370	chr9	69055390	69055540	+	75.8	0	intron (NM_013646, intron 1 of 10)	intron (NM_013646, intron 1 of 10)	-234376	NM_001289916	19883	Mm.378450	NM_013646	ENSMUSG00000032238	Rora	9530021D13Rik|Nr1f1|ROR1|ROR2|ROR3|nmf267|sg|staggerer|tmgc26	RAR-related orphan receptor alpha	protein-coding	138	188	308	198	235	364	368	336	157	233	251	239	218	336	497	236	260	286	14	0.0546578553591281	ZT13
chr9-498	chr9	54863637	54863787	+	75.7	0	promoter-TSS (NM_022655)	promoter-TSS (NM_022655)	-43	NM_022655	64602	Mm.208991	NM_022655	ENSMUSG00000032293	Ireb2	D9Ertd85e|Irp2	iron responsive element binding protein 2	protein-coding	147	189	354	219	277	413	407	381	191	220	221	187	161	323	446	209	247	252	6	0.0165323918984296	ZT5
chr13-244	chr13	119709454	119709604	+	75.7	0	TTS (NM_175538)	TTS (NM_175538)	19178	NM_001291439	208715	Mm.61526	NM_145942	ENSMUSG00000093930	Hmgcs1	B130032C06Rik	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	protein-coding	163	202	419	197	200	364	221	283	129	193	219	183	186	469	598	234	260	322	21	0.0546578553591281	ZT21
chr14-322	chr14	70766642	70766792	+	75.7	0	promoter-TSS (NM_023045)	promoter-TSS (NM_023045)	-89	NM_023045	65246	Mm.152987	NM_023045	ENSMUSG00000022100	Xpo7	4930506C02Rik|BB164534|Ranbp16|exp7	exportin 7	protein-coding	163	181	338	226	249	400	376	313	205	220	247	205	189	324	505	217	237	249	8	0.091432700055119	ZT9
chr11-536	chr11	69662582	69662732	+	75.7	0	promoter-TSS (NM_001301710)	promoter-TSS (NM_001301710)	-8	NM_011900	24070	Mm.89579	NM_011900	ENSMUSG00000018761	Mpdu1	LEC35|SL15|Supl15h	mannose-P-dolichol utilization defect 1	protein-coding	194	201	312	223	265	380	387	331	213	203	230	231	183	319	502	199	244	222	8	0.091432700055119	ZT9
